IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",41,"1990",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11713076
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",42,"1991",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11825657
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",43,"1992",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11896983.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",44,"1993",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11898328.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",45,"1994",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11788127
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",46,"1995",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11630018
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",47,"1996",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11479429.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",48,"1997",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11297536
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",49,"1998",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11108748
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",50,"1999",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11075184
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",51,"2000",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11217173
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",52,"2001",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11382819.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",53,"2002",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11554294.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",54,"2003",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11719695
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",55,"2004",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11868677.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",56,"2005",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12005044.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",57,"2006",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12132125
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",58,"2007",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12245998
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",59,"2008",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12341934
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",60,"2009",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12445890
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",61,"2010",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12564991
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",62,"2011",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12675202
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",63,"2012",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12776270.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",64,"2013",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12875804
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",65,"2014",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12975786.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",66,"2015",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13079612
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",67,"2016",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13196333.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",68,"2017",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13330093.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",69,"2018",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13478191
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",70,"2019",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13636156
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",71,"2020",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13791287
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",72,"2021",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",13922766
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",73,"2022",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",3,"Projection",14099050.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",74,"2023",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",3,"Projection",14324777
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",398,"Kazakhstan","KZ","KAZ",75,"2024",4,"Median",3,"Both sexes",26,15,null,"15+",0,"Not applicable",1,"Model-based Estimates",3,"Projection",14543857.5
